=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.20 11:43:14 =~=~=~=~=~=~=~=~=~=~=~=
Setup: Serial port communication at 9600bps
t:0.00,Throttle:1950,Theta:-79.47,theta_d:0.00,Error:79.47
t:0.05,Throttle:1950,Theta:-77.96,theta_d:0.00,Error:77.96
t:0.10,Throttle:1950,Theta:-74.94,theta_d:0.00,Error:74.94
t:0.15,Throttle:1950,Theta:-64.37,theta_d:0.00,Error:64.37
t:0.20,Throttle:1950,Theta:-56.63,theta_d:0.00,Error:56.63
t:0.25,Throttle:1950,Theta:-47.95,theta_d:0.00,Error:47.95
t:0.30,Throttle:1950,Theta:-38.33,theta_d:0.00,Error:38.33
t:0.35,Throttle:1950,Theta:-26.82,theta_d:0.00,Error:26.82
t:0.40,Throttle:1906,Theta:-10.21,theta_d:0.00,Error:10.21
t:0.45,Throttle:1692,Theta:3.94,theta_d:0.00,Error:-3.94
t:0.50,Throttle:1000,Theta:26.59,theta_d:0.00,Error:-26.59
t:0.55,Throttle:1000,Theta:35.46,theta_d:0.00,Error:-35.46
t:0.60,Throttle:1000,Theta:27.91,theta_d:0.00,Error:-27.91
t:0.65,Throttle:1417,Theta:18.29,theta_d:0.00,Error:-18.29
t:0.70,Throttle:1641,Theta:9.04,theta_d:0.00,Error:-9.04
t:0.75,Throttle:1935,Theta:-8.32,theta_d:0.00,Error:8.32
t:0.80,Throttle:1950,Theta:-43.23,theta_d:0.00,Error:43.23
t:0.85,Throttle:1950,Theta:-91.17,theta_d:0.00,Error:91.17
t:0.90,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:0.95,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.00,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.05,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.10,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.15,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.20,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.25,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.30,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.35,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
t:1.40,Throttle:1950,Theta:-91.36,theta_d:0.00,Error:91.36
