=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.19 10:06:13 =~=~=~=~=~=~=~=~=~=~=~=
Setup: Serial port communication at 9600bps
t:0.00,Throttle:1950,Theta:-62.29,theta_d:0.00,Error:62.29
t:0.05,Throttle:1950,Theta:-61.16,theta_d:0.00,Error:61.16
t:0.10,Throttle:1950,Theta:-53.05,theta_d:0.00,Error:53.05
t:0.15,Throttle:1950,Theta:-35.31,theta_d:0.00,Error:35.31
t:0.20,Throttle:1950,Theta:-23.80,theta_d:0.00,Error:23.80
t:0.25,Throttle:1972,Theta:-16.81,theta_d:0.00,Error:16.81
t:0.30,Throttle:1911,Theta:-9.27,theta_d:0.00,Error:9.27
t:0.35,Throttle:1890,Theta:-6.06,theta_d:0.00,Error:6.06
t:0.40,Throttle:1861,Theta:-3.04,theta_d:0.00,Error:3.04
t:0.45,Throttle:1844,Theta:-1.15,theta_d:0.00,Error:1.15
t:0.50,Throttle:1847,Theta:-1.15,theta_d:0.00,Error:1.15
t:0.55,Throttle:1840,Theta:-0.59,theta_d:0.00,Error:0.59
t:0.60,Throttle:1846,Theta:-0.96,theta_d:0.00,Error:0.96
t:0.65,Throttle:1852,Theta:-1.53,theta_d:0.00,Error:1.53
t:0.70,Throttle:1847,Theta:-1.15,theta_d:0.00,Error:1.15
t:0.75,Throttle:1845,Theta:-0.96,theta_d:0.00,Error:0.96
t:0.80,Throttle:1848,Theta:-1.15,theta_d:0.00,Error:1.15
t:0.85,Throttle:1845,Theta:-0.96,theta_d:0.00,Error:0.96
t:0.90,Throttle:1848,Theta:-1.15,theta_d:0.00,Error:1.15
t:0.95,Throttle:1845,Theta:-0.96,theta_d:0.00,Error:0.96
t:1.00,Throttle:1848,Theta:-1.15,theta_d:0.00,Error:1.15
t:1.05,Throttle:1840,Theta:-0.59,theta_d:0.00,Error:0.59
t:1.10,Throttle:1844,Theta:-0.77,theta_d:0.00,Error:0.77
