=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.27 17:16:13 =~=~=~=~=~=~=~=~=~=~=~=
St558,Theta:2.29,theta_d:-15.00,Error:-17.-17.10
t:10.90,Throttle:1565,Theta:1.91,theta_d:-15.00,Error:-16.91
t:10.95,Throttle:1558,Theta:2.29,theta_d:-15.00,Error:-17.17.10
t:10.90,Throttle:1565,Theta:1.91,theta_d:-15.00,Error:-16.91
t:10.95,Throttle:1558,Theta:2.29,theta_d:-15.00,Error:-17.Setup: Serial port communication at 9600bps
t:0.00,Throttle:1950,Theta:-59.80,theta_d:-15.00,Error:44.80
t:0.05,Throttle:1950,Theta:-77.92,theta_d:-15.00,Error:62.92
t:0.10,Throttle:1950,Theta:-79.05,theta_d:-15.00,Error:64.05
t:0.15,Throttle:1950,Theta:-81.31,theta_d:-15.00,Error:66.31
t:0.20,Throttle:1998,Theta:-78.67,theta_d:-15.00,Error:63.67
t:0.25,Throttle:1975,Theta:-70.37,theta_d:-15.00,Error:55.37
t:0.30,Throttle:1920,Theta:-53.38,theta_d:-15.00,Error:38.38
t:0.35,Throttle:1959,Theta:-56.40,theta_d:-15.00,Error:41.40
t:0.40,Throttle:1902,Theta:-45.46,theta_d:-15.00,Error:30.46
t:0.45,Throttle:1874,Theta:-37.72,theta_d:-15.00,Error:22.72
t:0.50,Throttle:1799,Theta:-25.46,theta_d:-15.00,Error:10.46
t:0.55,Throttle:1709,Theta:-13.57,theta_d:-15.00,Error:-1.43
t:0.60,Throttle:1658,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:0.65,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:0.70,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:0.75,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:0.80,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:0.85,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:0.90,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:0.95,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:1.00,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:1.05,Throttle:1675,Theta:-7.53,theta_d:-15.00,Error:-7.47
t:1.10,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:1.15,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:1.20,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:1.25,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:1.30,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:1.35,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:1.40,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:1.45,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:1.50,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:1.55,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:1.60,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:1.65,Throttle:1668,Theta:-6.96,theta_d:-15.00,Error:-8.04
t:1.70,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:1.75,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:1.80,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:1.85,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:1.90,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:1.95,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:2.00,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:2.05,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:2.10,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:2.15,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:2.20,Throttle:1673,Theta:-7.34,theta_d:-15.00,Error:-7.66
t:2.25,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:2.30,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:2.35,Throttle:1675,Theta:-7.53,theta_d:-15.00,Error:-7.47
t:2.40,Throttle:1670,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:2.45,Throttle:1671,Theta:-7.15,theta_d:-15.00,Error:-7.85
t:2.50,Throttle:1661,Theta:-6.40,theta_d:-15.00,Error:-8.60
